StartDate,EndDate,Duration (in seconds),RecordedDate,ResponseId,UserLanguage,Q20,Q13_1,Q13_2,Q14,Q9_1,Q9_2,Q16_1,Q12_1,Q12_2,Q17_1,Q19,Q21,player_id
Start Date,End Date,Duration (in seconds),Recorded Date,Response ID,User Language,Enter the code you received at the end of the quiz here.  Use the same code to verify completion of the task in AMTurk.,How would you rate your knowledge about the states and famous people? - related to USA,How would you rate your knowledge about the states and famous people? - related to India,Why did you rate your knowledge about the states and famous people the way you did above?,In the Part 1 (SET A) of the quiz: - How FAIR or UNFAIR was it for YOU that the computer gave you the designated number of questions?,In the Part 1 (SET A) of the quiz: - How FAIR or UNFAIR was it for your PARTNER that the computer gave them the designated number of questions?,In the Part 1 (SET A) of the quiz: - How much do you trust the computer to make a good decision about the distribution of questions?,In Part 2 (SET B) of the quiz: - How FAIR or UNFAIR was it for YOU that the computer gave you the designated number of questions?,In Part 2 (SET B) of the quiz: - How FAIR or UNFAIR was it for your PARTNER that the computer gave them the designated number of questions?,In Part 2 (SET B) of the quiz: - How much do you trust the computer to make a good decision about the distribution of questions?,Did you notice a difference in how each part distributed questions?,What factors in the quiz caused you to answer in the way you did?,player_id
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""duration""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID20_TEXT""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID13_2""}","{""ImportId"":""QID14_TEXT""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID9_2""}","{""ImportId"":""QID16_1""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID12_2""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID19_TEXT""}","{""ImportId"":""QID21_TEXT""}","{""ImportId"":""player_id""}"
2019-09-06 08:38:35,2019-09-06 08:43:20,285,2019-09-06 08:43:21,R_yNOxqtzloZ6Ml9v,EN,11215,5,6,very interest of that topic,6,5,5,5,6,6,yes ,computer disribution,11215
2019-09-06 08:37:19,2019-09-06 08:44:30,430,2019-09-06 08:44:31,R_vGI1CubUxkqhjdn,EN,A34D5D6PU193AR,5,5,my guessing ,5,5,5,5,6,5,Part 2 is beter then part 1,very trustworthy,18647
2019-09-06 08:36:23,2019-09-06 08:54:04,1061,2019-09-06 08:54:05,R_3fNzHGOyg316drq,EN,c5ea97c0-d0b3-11e9-a380-efcf2a59dbde,1: very poor,7: very good,,4,5,5,5,6,7: very trustworthy,no,,27340
2019-09-06 08:43:35,2019-09-06 08:54:44,668,2019-09-06 08:54:44,R_ehAq5cPMEifqrJL,EN,20831,5,6,this people is a very knowledge ,3,5,4,5,4,4,rock music  singer is banner will be change colors,n/a,20831
2019-09-06 08:38:51,2019-09-06 08:57:46,1134,2019-09-06 08:57:46,R_10TXol91tebxmaC,EN,e0d3d320-d0b4-11e9-a380-efcf2a59dbde,3,7: very good,Familiar ,5,6,7: very trustworthy,6,6,7: very trustworthy,No,None,72414
2019-09-06 08:36:15,2019-09-06 08:59:00,1365,2019-09-06 08:59:00,R_2z8AWOMnuH77qx9,EN,e0d3d320-d0b4-11e9-a380-efcf2a59dbde,4,4,i rated according to my  knoledge,7: very fair,5,5,4,3,5,yes,geographical location helped me to anser,74824
2019-09-06 08:42:12,2019-09-06 09:00:09,1076,2019-09-06 09:00:09,R_cOQTEPD9BgBXX9f,EN,996f9c30-d0b4-11e9-a380-efcf2a59dbde,5,1: very poor,I'm familiar with famous people in the USA yet mediocre when it comes to geography knowledge.  I know next to nothing about India in general.,7: very fair,7: very fair,6,7: very fair,7: very fair,6,No and I focused intently.,I just answered to the best of my ability at all times but had to guess at nearly all of the questions related to India.,74012
2019-09-06 08:43:14,2019-09-06 09:00:42,1047,2019-09-06 09:00:42,R_2fkCAnhNdPIOZhF,EN,b68e2390-d0b4-11e9-a380-efcf2a59dbde,7: very good,1: very poor,"I'm an American. I know very little about Indian states, celebrities and politicians.",4,4,3,4,4,3,No,My knowledge of US geography and personalities. And lack of knowledge about India.,83080
2019-09-06 08:50:15,2019-09-06 09:03:36,800,2019-09-06 09:03:36,R_DMkHwdpJU4RybF7,EN,b489ab90-d0b5-11e9-a380-efcf2a59dbde,4,1: very poor,because thats my experience ,5,3,4,4,2,5,it seemed like i got less questions,some i had to guess,63272
2019-09-06 08:40:38,2019-09-06 09:04:28,1429,2019-09-06 09:04:29,R_3HTTVWmIrPbyxHE,EN,94889db0-d0b5-11e9-a380-efcf2a59dbde,5,6,i am middle knowledge about the questions,4,5,6,3,4,4,question distributed is little different,i answer the question is about my knowledge,39521
2019-09-06 08:48:07,2019-09-06 09:05:17,1029,2019-09-06 09:05:18,R_D7SrTupFumy5DDr,EN,94889db0-d0b5-11e9-a380-efcf2a59dbde,5,2,"Since I live in the states I have more knowledge, thus I choose a higher value. I don't live in India but I have heard a few things, which explains the low value.",4,4,4,4,4,4,"Nope. Look the same too me. Only difference I noticed was how much time you had to answer the question, which was less then the first part.","If I knew the answer of had a hunch I tried my best to answer, if I had no clue I skipped it.",64024
2019-09-06 08:40:31,2019-09-06 09:05:51,1519,2019-09-06 09:05:52,R_1LUKZ1MYqp8UNkM,EN,b489ab90-d0b5-11e9-a380-efcf2a59dbde,5,6,my opinion,5,6,5,6,5,5,no,search,82472
2019-09-06 08:37:06,2019-09-06 09:09:40,1954,2019-09-06 09:09:41,R_2yg8hSpTKupEQkV,EN,7fe4a660-d0b5-11e9-a380-efcf2a59dbde,6,4,I have read the details online,6,5,7: very trustworthy,5,4,6,It asked questions of the country's celebrities and the map,I tried to record the details as soon as I could,32441
2019-09-06 09:05:06,2019-09-06 09:10:41,334,2019-09-06 09:10:42,R_XochP4J02a44mrv,EN,7fe4a660-d0b5-11e9-a380-efcf2a59dbde,1: very poor,6,actually I can't identify which is not familiar to me ,7: very fair,5,7: very trustworthy,7: very fair,5,7: very trustworthy,maximum from Us based question to me while other India based,some question I am just guiseing,98778
2019-09-06 08:39:32,2019-09-06 09:21:35,2522,2019-09-06 09:21:35,R_An5E0WGSSVGyoxj,EN,224751d0-d0b8-11e9-a380-efcf2a59dbde,4,6,i live,4,6,5,4,5,5,non,search,39349
2019-09-06 08:59:43,2019-09-06 09:23:56,1452,2019-09-06 09:23:57,R_2dXAk6fFRHNM4tE,EN,224751d0-d0b8-11e9-a380-efcf2a59dbde,6,2,I am very ignorant of things outside of my culture unfortunately. ,7: very fair,7: very fair,7: very trustworthy,7: very fair,7: very fair,7: very trustworthy,Yes towards the end of the second set the questions seemed to switch to the other player if you got one right instead of switching after getting one wrong.,I used some elimination of the multiple choice answers.  ,96795
2019-09-06 09:13:47,2019-09-06 09:23:56,609,2019-09-06 09:23:57,R_qXjW6gS2o7MMVod,EN,0a463050-d0b9-11e9-a380-efcf2a59dbde,5,4,because i know more american people than indian,3,2,3,2,2,1: very untrustworthy,the other person got way more questions tha nme,based on knowledge,32930
2019-09-06 08:53:26,2019-09-06 09:24:15,1849,2019-09-06 09:24:16,R_3LZ2c3Vcr1zicnZ,EN,36c1ef30-d0b8-11e9-a380-efcf2a59dbde,2,6,my knowledge only ondia ,2,6,3,5,5,5,state,person,40521
2019-09-06 09:02:51,2019-09-06 09:24:20,1288,2019-09-06 09:24:21,R_2dgXdzZuoFT3ZLc,EN,0a463050-d0b9-11e9-a380-efcf2a59dbde,3,7: very good,because I know more about India,6,7: very fair,6,7: very fair,6,6,no,"I answered Indian questions easily,",94236
2019-09-06 09:07:36,2019-09-06 09:25:45,1088,2019-09-06 09:25:46,R_2c1P6AJMSVa6A2g,EN,36c1ef30-d0b8-11e9-a380-efcf2a59dbde,4,1: very poor,"I know the geography of the U.S., but I do not follow sports. The sports celebrities that were shown I did not know for the most part.",7: very fair,7: very fair,7: very trustworthy,7: very fair,7: very fair,7: very trustworthy,There seemed to be fewer questions in a row for each of us in Set B.,"I guessed on the India questions, and I answered to the best of my knowledge on the U.S. questions.",19941
2019-09-06 09:13:12,2019-09-06 09:27:05,833,2019-09-06 09:27:05,R_2w4YFfv40LAG8GJ,EN,f125ffb0-d0b8-11e9-a380-efcf2a59dbde,7: very good,1: very poor,I am from the US but have very little knowledge of India,7: very fair,7: very fair,7: very trustworthy,7: very fair,7: very fair,7: very trustworthy,no,I felt it was fair as we both had our share of questions to answer,40053
2019-09-06 08:36:56,2019-09-06 09:28:54,3118,2019-09-06 09:28:55,R_1TgrqhKMGStUDgl,EN,f125ffb0-d0b8-11e9-a380-efcf2a59dbde,2,6,I don't have much knowledge about USA. But have some knowledge about my country India.,6,6,6,6,6,6,no,I did answers confidently for the questions I know.,19458
2019-09-06 08:44:29,2019-09-06 09:33:48,2959,2019-09-06 09:33:49,R_1gGse4qFBxQYsPi,EN,89dc8ad0-d0b9-11e9-a380-efcf2a59dbde,2,6,yes,4,5,5,4,5,5,no,map,47814
2019-09-06 09:39:05,2019-09-06 09:40:37,92,2019-09-06 09:40:38,R_2YVRc4DigIf6KIY,EN,42733,7: very good,7: very good,very good,7: very fair,7: very fair,7: very trustworthy,7: very fair,7: very fair,7: very trustworthy,yes,good,42733
2019-09-06 09:36:27,2019-09-06 09:49:51,804,2019-09-06 09:49:51,R_2UbBemu7LaJHXzD,EN,36ef9210-d0bc-11e9-a380-efcf2a59dbde,3,7: very good,I know the states but I am not familiar with the famous persons of USA,4,6,4,5,6,6,no difference ,just my knowledge but it was way to quick,23716
2019-09-06 09:38:23,2019-09-06 09:56:42,1098,2019-09-06 09:56:42,R_qIA6K1mP00jsgX7,EN,e1f96dc0-d0bc-11e9-a380-efcf2a59dbde,6,2,"I know the states pretty well, but have no idea on India",5,3,4,5,3,3,Not really,I just tried to answer the best I could,94311
2019-09-06 09:40:44,2019-09-06 09:57:26,1001,2019-09-06 09:57:26,R_1FkXKwN3CaKXNhW,EN,cea6fcb0-d0bc-11e9-a380-efcf2a59dbde,7: very good,7: very good,good,7: very fair,7: very fair,7: very trustworthy,7: very fair,7: very fair,7: very trustworthy,good,good,83356
2019-09-06 09:38:56,2019-09-06 09:59:33,1236,2019-09-06 09:59:33,R_sG087G9CHmRMr0B,EN,cea6fcb0-d0bc-11e9-a380-efcf2a59dbde,7: very good,6,It is interesting and gain more knowledge.,6,5,,6,7: very fair,5,its is quite interesting when compared to each parts.,knowledge.,99391
2019-09-06 09:40:39,2019-09-06 10:05:52,1513,2019-09-06 10:05:52,R_2v6uoykwKcKWhyH,EN,e1f96dc0-d0bc-11e9-a380-efcf2a59dbde,4,5,to improve my skill level.,5,4,5,4,3,4,No,"To improve my general knowledge about leaders, important persons and maps",62226
2019-09-06 09:17:58,2019-09-06 10:27:29,4170,2019-09-06 10:27:29,R_20MY4fvfyBInbGR,EN,89dc8ad0-d0b9-11e9-a380-efcf2a59dbde,5,5,I thought that made the most sense to me ,1: very unfair,7: very fair,1: very untrustworthy,1: very unfair,4,4,No,None,46493
2019-09-06 10:29:52,2019-09-06 10:30:57,65,2019-09-06 10:30:57,R_2zx0GvNgWe2jsLt,EN,A2CJ3NVMPNFXI1,5,6,,5,6,5,6,6,6,,,83626
2019-09-06 09:56:51,2019-09-06 10:41:37,2686,2019-09-06 10:41:37,R_3kpNRQm2EuxwpdP,EN,a246c2d0-d0c2-11e9-a380-efcf2a59dbde,4,7: very good,i did good,3,4,4,3,2,3,no,i answered correctly,79371
2019-09-06 10:48:54,2019-09-06 11:04:36,941,2019-09-06 11:04:37,R_0TUomDu2qCoSbnj,EN,aa260070-d0c6-11e9-a380-efcf2a59dbde,5,5,,6,5,5,4,5,5,,,49388
2019-09-06 10:51:58,2019-09-06 11:05:05,786,2019-09-06 11:05:06,R_3ejWOiM8ofpjuM7,EN,aa260070-d0c6-11e9-a380-efcf2a59dbde,6,1: very poor,Because I am from the USA and it is more familiar to me.,5,4,5,6,4,5,None,How familiar the region or celebrity was to me.,26619
2019-09-07 08:18:25,2019-09-07 08:29:55,690,2019-09-07 08:29:56,R_1ptba2IoPv2MuqR,EN,78471350-d17a-11e9-8eb2-eb0c3dcf92ad,5,6,,6,5,6,6,5,6,n/a,n/a,10371
2019-09-07 08:18:37,2019-09-07 08:32:15,818,2019-09-07 08:32:15,R_2pJhM1FI8pw13i7,EN,9bfb1710-d17a-11e9-8eb2-eb0c3dcf92ad,,7: very good,tamilnadu,7: very fair,6,7: very trustworthy,7: very fair,6,7: very trustworthy,no,nothng,35838
2019-09-07 08:19:40,2019-09-07 08:32:39,779,2019-09-07 08:32:40,R_Cfv6lj2ScFGxYRz,EN,9bfb1710-d17a-11e9-8eb2-eb0c3dcf92ad,6,1: very poor,I'm old,4,4,3,5,4,5,I thought I got more if I was right,Whether I knew the answer not... duh,82312
2019-09-07 08:17:59,2019-09-07 08:34:27,987,2019-09-07 08:34:28,R_24irOqQKHDNgJI8,EN,75757cc0-d17a-11e9-8eb2-eb0c3dcf92ad,7: very good,1: very poor,"Im an american citizen, have never been to india",4,4,4,4,4,4,not really,"i tried to be correct, but when it came to the indian states I didn't even try because I know none",27570
2019-09-07 08:18:19,2019-09-07 08:35:22,1022,2019-09-07 08:35:22,R_zcjbhB1q18US5C9,EN,75757cc0-d17a-11e9-8eb2-eb0c3dcf92ad,7: very good,7: very good,,4,5,7: very trustworthy,5,6,6,,,12809
2019-09-07 08:19:37,2019-09-07 08:41:13,1295,2019-09-07 08:41:14,R_3NOOCYsGStsiFNx,EN,34069520-d17b-11e9-8eb2-eb0c3dcf92ad,5,5,i am so confident that i know the answers,5,5,4,5,5,5,yes,its a pride to attend the quiz,22233
2019-09-07 08:28:17,2019-09-07 08:41:37,799,2019-09-07 08:41:37,R_24hOKjMiDrcUMLE,EN,d901d7b0-d17b-11e9-8eb2-eb0c3dcf92ad,7: very good,1: very poor,"I don't know much about India, but do know a lot of the US since I was born and bred here.",4,4,3,4,4,3,"the first was more even, the 2nd the other player got a lot more questions",the other player got a lot more questions in part B,87843
2019-09-07 08:18:47,2019-09-07 08:41:57,1390,2019-09-07 08:41:58,R_2zA4ZPDeV3qAQNg,EN,34069520-d17b-11e9-8eb2-eb0c3dcf92ad,3,7: very good,because i am not having much knowledge about usa famous persons at the same time i am having very much knowledge on my country famous persons and geography   ,5,5,6,6,4,6,yes,mostly in two parts different geographical and famous persons related questions where asked ,13860
2019-09-07 08:19:07,2019-09-07 08:45:17,1569,2019-09-07 08:45:17,R_3JaQEktXNY04eyT,EN,d901d7b0-d17b-11e9-8eb2-eb0c3dcf92ad,4,7: very good,Because i know the india states and people very well comparative to USA ,6,3,4,6,4,4,First part of question states and famous people are given two sets and another part one set of questions.,General knowledge factors,50726
2019-09-07 08:30:28,2019-09-07 08:48:36,1087,2019-09-07 08:48:36,R_3PmLJQ9n2AnLRBL,EN,637e6b10-d17c-11e9-8eb2-eb0c3dcf92ad,5,5,because they did alright,4,3,4,4,3,5,not really,"none, I just wanted to do my best",78497
2019-09-07 08:20:06,2019-09-07 08:49:00,1734,2019-09-07 08:49:00,R_31zKKMm5sXINqh6,EN,637e6b10-d17c-11e9-8eb2-eb0c3dcf92ad,4,5,best of my knowledge,5,5,5,5,6,5,no,,97795
2019-09-07 08:19:57,2019-09-07 08:50:31,1834,2019-09-07 08:50:32,R_1M4kY9KSamWHR8V,EN,b5c1fd10-d17c-11e9-8eb2-eb0c3dcf92ad,3,6,Very difficult,4,5,4,5,4,4,very bad,set b,55053
2019-09-07 08:44:11,2019-09-07 08:56:29,737,2019-09-07 08:56:29,R_2a6EicToyl64jZL,EN,01370be0-d17e-11e9-8eb2-eb0c3dcf92ad,6,1: very poor,Because I obviously know very little about India.,6,6,5,6,6,4,I feel my partner had more in section B,"TIme, unfortunately, in part B the timer was moving unfairly.",21057
2019-09-07 08:22:19,2019-09-07 08:57:12,2092,2019-09-07 08:57:12,R_89dPdd5ZLvdLndD,EN,01370be0-d17e-11e9-8eb2-eb0c3dcf92ad,5,6,MY KNOWLEDGE ,5,6,5,3,5,4,NOTHING,NO,57738
2019-09-07 08:42:29,2019-09-07 08:59:06,997,2019-09-07 08:59:06,R_4H0ag6BcrCPv1FT,EN,dfecb520-d17d-11e9-8eb2-eb0c3dcf92ad,2,6,Not much into sports,5,5,3,5,5,5,My opposite player was asked many questions,I just had to sit and watch most of the time,28743
2019-09-07 08:45:41,2019-09-07 08:59:35,833,2019-09-07 08:59:35,R_tGtmOubArc55tzb,EN,3b1272a0-d17e-11e9-8eb2-eb0c3dcf92ad,7: very good,1: very poor,I know my states and famous people well,1: very unfair,1: very unfair,1: very untrustworthy,1: very unfair,1: very unfair,1: very untrustworthy,yes it was not done fairly,The time factor was difficult ,33550
2019-09-07 08:30:44,2019-09-07 08:59:50,1746,2019-09-07 08:59:51,R_2uJuiew8Z0igpXk,EN,3b1272a0-d17e-11e9-8eb2-eb0c3dcf92ad,6,5,n/a,6,5,5,5,4,5,n/a,n/a,12121
2019-09-07 08:19:53,2019-09-07 09:00:05,2411,2019-09-07 09:00:05,R_1pQkIM6g2TiVRSc,EN,dfecb520-d17d-11e9-8eb2-eb0c3dcf92ad,5,6,based on my kanowledge,6,5,6,5,6,6,no,based on memory,53268
2019-09-07 08:18:15,2019-09-07 09:00:38,2543,2019-09-07 09:00:39,R_7V6Ia0FjZZluYc9,EN,647933e0-d17e-11e9-8eb2-eb0c3dcf92ad,6,5,,5,4,4,5,4,5,n/a,n/a,80996
2019-09-07 08:46:36,2019-09-07 09:01:40,904,2019-09-07 09:01:42,R_qO8seWdvWIZCOuR,EN,647933e0-d17e-11e9-8eb2-eb0c3dcf92ad,6,1: very poor,Because I am an american and watch some sports,7: very fair,7: very fair,7: very trustworthy,7: very fair,7: very fair,7: very trustworthy,No I did not.,Guessed the ones I didn't know.,40297
2019-09-07 08:35:53,2019-09-07 09:02:44,1610,2019-09-07 09:02:44,R_3lWIeli7XysyskS,EN,fa0755e0-d17e-11e9-8eb2-eb0c3dcf92ad,6,7: very good,5,6,7: very fair,5,5,6,5,May be 25,Cinema Actors and Actress,89271
2019-09-07 08:51:06,2019-09-07 09:02:52,705,2019-09-07 09:02:52,R_YSOydn7cQGlT4VH,EN,fa0755e0-d17e-11e9-8eb2-eb0c3dcf92ad,7: very good,1: very poor,I had no idea about the Indian topics but in knew a lot about USA topics.,7: very fair,7: very fair,7: very trustworthy,7: very fair,7: very fair,7: very trustworthy,No,What knowledge I had of the subject,72299
2019-09-07 08:49:17,2019-09-07 09:03:05,827,2019-09-07 09:03:05,R_3oBc2frqFpJLwXT,EN,1b0bf110-d17f-11e9-8eb2-eb0c3dcf92ad,,7: very good,9,7: very fair,6,7: very trustworthy,6,6,7: very trustworthy,no,nothing,14412
2019-09-07 08:51:56,2019-09-07 09:04:25,748,2019-09-07 09:04:25,R_07yTQUrOQCgW9Z7,EN,1b0bf110-d17f-11e9-8eb2-eb0c3dcf92ad,5,1: very poor,"While I know the US states and some of the US people, many were sports celebrities that I did not know. I know nothing about Indian Geography or people.",6,6,6,2,2,2,"Part 1 seemed to do a much better job of giving questions about the US to me, and questions about India to my partner.",Random selections if I had no idea.,99332
2019-09-07 08:51:24,2019-09-07 09:09:48,1104,2019-09-07 09:09:49,R_1hLluYOuoJ7qz9y,EN,9c4d6380-d17f-11e9-8eb2-eb0c3dcf92ad,3,1: very poor,Cause I don't know a lot,5,4,4,5,5,5,No,I don't know,36275
2019-09-07 08:18:56,2019-09-07 09:13:06,3249,2019-09-07 09:13:06,R_31aAqGHm3mZFS74,EN,36dc3110-d180-11e9-8eb2-eb0c3dcf92ad,4,5,good ,5,6,6,4,6,4,2,famous actor and places ,93078
2019-09-07 08:59:46,2019-09-07 09:13:19,813,2019-09-07 09:13:20,R_2rqprv8Ing666zV,EN,36dc3110-d180-11e9-8eb2-eb0c3dcf92ad,5,1: very poor,"I know the states of the United States, but I'm not very good with famous people of either country. I don't know anything about India's geography at all.",7: very fair,7: very fair,7: very trustworthy,7: very fair,7: very fair,7: very trustworthy,I didn't really notice a difference. It seemed to alternate between the two of us regularly. I don't think any one person got more questions than the other.,"My knowledge was the main factor. If I knew the answer, I answered it correctly. If I didn't, I guessed.",17479
2019-09-07 08:19:48,2019-09-07 09:15:01,3313,2019-09-07 09:15:02,R_9S4O9xTTFSuGkDf,EN,,5,7: very good,,4,5,6,5,4,5,yes,well known questions,25606
2019-09-07 08:44:54,2019-09-07 09:17:12,1937,2019-09-07 09:17:13,R_2SwwqMi9knm2x2t,EN,b2ab2350-d180-11e9-8eb2-eb0c3dcf92ad,,7: very good,no,7: very fair,6,7: very trustworthy,6,6,7: very trustworthy,no,nothing,74334
2019-09-07 09:14:55,2019-09-07 09:17:17,142,2019-09-07 09:17:17,R_2CI1L2oascBvUHB,EN,A2H0W8PLGTO0YE,7: very good,1: very poor,Because i belong to US,4,6,5,6,5,6,NO,all,75938
2019-09-07 09:03:28,2019-09-07 09:18:37,908,2019-09-07 09:18:37,R_1LpQSzHKFVCBsMW,EN,b2ab2350-d180-11e9-8eb2-eb0c3dcf92ad,6,4,i feel like that,6,5,6,5,6,6,no,knowledge,67440
2019-09-07 09:06:56,2019-09-07 09:32:13,1516,2019-09-07 09:32:13,R_XBaKwmj3WxMmTKN,EN,,,5,i know the maximum person,,4,5,,3,6,diiferent parrten,famous personolity,63566
2019-09-07 09:13:39,2019-09-07 09:33:12,1172,2019-09-07 09:33:12,R_3Mn6FfRjP9Nj5KZ,EN,2d7e8210-d182-11e9-8eb2-eb0c3dcf92ad,6,1: very poor,I guessed at the Indian ones.  I didn't know any of them!!!!!!!,7: very fair,7: very fair,6,7: very fair,7: very fair,6,I actually did not notice a difference.,I just answered what I knew and guessed on the rest.,37966
2019-09-07 09:26:57,2019-09-07 09:33:48,410,2019-09-07 09:33:48,R_3GDJbzLzpGPPvcm,EN,A2II86681Y95CC,7: very good,6,,4,5,4,5,4,5,,,61745
2019-09-07 09:34:04,2019-09-07 09:34:48,44,2019-09-07 09:34:52,R_3g14ShSciMUwSzT,EN,86504,5,4,10,4,4,3,4,2,4,no,nothing,86504
2019-09-07 09:19:29,2019-09-07 09:36:18,1008,2019-09-07 09:36:18,R_pK9wtPqZUVNQoKd,EN,297c8c60-d183-11e9-8eb2-eb0c3dcf92ad,5,1: very poor,"I'm more familiar with the US states than any other country. But, my knowledge of famous people, sports in particular, is limited because I don't watch sports anymore.",6,6,6,6,6,4,I did not.,My general knowledge of the subject matter.,82010
2019-09-07 09:18:55,2019-09-07 09:43:56,1500,2019-09-07 09:43:57,R_aV6jI0dloVOKmFb,EN,297c8c60-d183-11e9-8eb2-eb0c3dcf92ad,4,7: very good,very good,2,2,6,2,1: very unfair,6,yes,good,75193
2019-09-07 09:34:54,2019-09-07 09:50:44,949,2019-09-07 09:50:44,R_Y316RYkYEXIPL3z,EN,46bfa0d0-d185-11e9-8eb2-eb0c3dcf92ad,3,5,,3,4,5,4,3,4,,,11316
2019-09-07 09:32:17,2019-09-07 09:52:11,1194,2019-09-07 09:52:12,R_3KNkqeEQ639aQQA,EN,46bfa0d0-d185-11e9-8eb2-eb0c3dcf92ad,4,5,easy,4,5,4,5,4,5,no,correct,23583
